1901-03-16 19:44 (Saturday) | Place: City19 | go do nothing.
1902-03-02 14:32 (Sunday) | Place: City18 | go do nothing.
1903-05-02 15:30 (Saturday) | Place: City23 | go do nothing.
1903-08-01 09:25 (Saturday) | Place: Perm | go do nothing.
1905-02-13 09:32 (Monday) | Place: City15 | go do nothing.
1907-12-28 14:17 (Saturday) | Place: Voronezh | go do nothing.
1908-07-20 12:44 (Monday) | Place: Orenburg | go do nothing.
1909-12-23 11:44 (Thursday) | Place: City32 | go do nothing.
1910-07-11 16:09 (Monday) | Place: Tyumen | go do nothing.
1911-09-11 15:42 (Monday) | Place: Vladivostok | go do nothing.
1912-04-10 13:15 (Wednesday) | Place: City23 | go do nothing.
1912-05-28 12:45 (Tuesday) | Place: Rostov-on-Don | go do nothing.
1912-07-09 16:03 (Tuesday) | Place: City34 | go do nothing.
1916-08-05 10:10 (Saturday) | Place: Chelyabinsk | go do nothing.
1917-06-12 19:37 (Tuesday) | Place: City33 | go do nothing.
1917-11-28 08:45 (Wednesday) | Place: Krasnoyarsk | go do nothing.
1921-01-27 12:32 (Thursday) | Place: Irkutsk | go do nothing.
1921-10-15 15:26 (Saturday) | Place: City26 | go do nothing.
1922-02-16 16:42 (Thursday) | Place: Tomsk | go do nothing.
1923-10-19 15:20 (Friday) | Place: Omsk | go do nothing.
1923-12-24 11:18 (Monday) | Place: City12 | go do nothing.
1924-10-02 08:32 (Thursday) | Place: City13 | go do nothing.
1925-03-10 13:01 (Tuesday) | Place: City22 | go do nothing.
1925-11-02 13:22 (Monday) | Place: City18 | go do nothing.
1925-12-17 17:59 (Thursday) | Place: City26 | go do nothing.
1926-06-06 11:08 (Sunday) | Place: Orenburg | go do nothing.
1926-06-24 13:33 (Thursday) | Place: Tomsk | go do nothing.
1926-08-16 09:29 (Monday) | Place: City33 | go do nothing.
1929-04-06 09:32 (Saturday) | Place: City4 | go do nothing.
1929-04-12 09:28 (Friday) | Place: Chelyabinsk | go do nothing.
1929-08-20 18:28 (Tuesday) | Place: City25 | go do nothing.
1931-09-27 17:04 (Sunday) | Place: City31 | go do nothing.
1932-03-14 11:11 (Monday) | Place: Omsk | go do nothing.
1933-08-16 17:10 (Wednesday) | Place: Ufa | go do nothing.
1934-04-14 11:40 (Saturday) | Place: Samara | go do nothing.
1934-08-16 18:39 (Thursday) | Place: Samara | go do nothing.
1934-11-07 12:30 (Wednesday) | Place: City15 | go do nothing.
1935-09-16 10:32 (Monday) | Place: Makhachkala | go do nothing.
1935-10-14 18:22 (Monday) | Place: Nizhny Novgorod | go do nothing.
1937-03-31 19:04 (Wednesday) | Place: Ufa | go do nothing.
1937-09-05 15:39 (Sunday) | Place: City30 | go do nothing.
1937-10-13 13:53 (Wednesday) | Place: Tula | go do nothing.
1939-03-10 11:59 (Friday) | Place: City4 | go do nothing.
1940-05-07 12:34 (Tuesday) | Place: Tula | go do nothing.
1940-12-14 15:15 (Saturday) | Place: Saratov | go do nothing.
1941-01-12 19:30 (Sunday) | Place: City2 | go do nothing.
1941-02-22 16:18 (Saturday) | Place: City4 | go do nothing.
1942-02-09 09:44 (Monday) | Place: Saint Pyotrsburg | go do nothing.
1944-06-04 16:19 (Sunday) | Place: Perm | go do nothing.
1945-10-18 09:45 (Thursday) | Place: City32 | go do nothing.
1946-02-17 12:08 (Sunday) | Place: City28 | go do nothing.
1947-01-28 13:01 (Tuesday) | Place: Saratov | go do nothing.
1948-06-25 14:27 (Friday) | Place: Samara | go do nothing.
1950-08-23 12:40 (Wednesday) | Place: City11 | go do nothing.
1951-01-28 13:21 (Sunday) | Place: Ulyanovsk | go do nothing.
1951-02-09 15:58 (Friday) | Place: City33 | go do nothing.
1952-04-09 13:39 (Wednesday) | Place: City31 | go do nothing.
1955-11-06 08:38 (Sunday) | Place: City34 | go do nothing.
1955-11-07 13:36 (Monday) | Place: Voronezh | go do nothing.
1956-10-18 10:47 (Thursday) | Place: Tula | go do nothing.
1957-10-04 10:28 (Friday) | Place: Voronezh | go do nothing.
1958-04-18 17:56 (Friday) | Place: Barnaul | go do nothing.
1958-05-31 13:08 (Saturday) | Place: Kaliningrad | go do nothing.
1958-12-22 18:49 (Monday) | Place: Ryazan | go do nothing.
1959-05-16 14:21 (Saturday) | Place: Ryazan | go do nothing.
1959-08-22 19:19 (Saturday) | Place: Tula | go do nothing.
1960-04-04 17:07 (Monday) | Place: City26 | go do nothing.
1962-06-01 12:47 (Friday) | Place: Chelyabinsk | go do nothing.
1965-02-10 10:04 (Wednesday) | Place: City18 | go do nothing.
1969-05-01 13:13 (Thursday) | Place: Nizhny Novgorod | go do nothing.
1970-01-02 08:33 (Friday) | Place: City6 | go do nothing.
1972-05-10 10:43 (Wednesday) | Place: Tula | go do nothing.
1972-05-19 11:15 (Friday) | Place: City20 | go do nothing.
1973-03-09 17:54 (Friday) | Place: City18 | go do nothing.
1976-03-08 18:04 (Monday) | Place: Saint Pyotrsburg | go do nothing.
1976-09-17 10:24 (Friday) | Place: Rostov-on-Don | go do nothing.
1977-01-02 11:02 (Sunday) | Place: City33 | go do nothing.
1977-04-21 09:06 (Thursday) | Place: City11 | go do nothing.
1977-11-18 18:26 (Friday) | Place: City34 | go do nothing.
1978-04-08 11:01 (Saturday) | Place: City19 | go do nothing.
1979-06-18 10:40 (Monday) | Place: Nizhny Novgorod | go do nothing.
1979-09-15 13:45 (Saturday) | Place: City10 | go do nothing.
1979-10-24 09:10 (Wednesday) | Place: City9 | go do nothing.
1980-01-11 12:05 (Friday) | Place: Makhachkala | go do nothing.
1980-02-09 19:52 (Saturday) | Place: Voronezh | go do nothing.
1981-02-06 14:32 (Friday) | Place: City16 | go do nothing.
1981-08-20 19:05 (Thursday) | Place: Barnaul | go do nothing.
1982-10-14 12:32 (Thursday) | Place: Ulyanovsk | go do nothing.
1983-02-27 11:31 (Sunday) | Place: City16 | go do nothing.
1983-03-13 08:55 (Sunday) | Place: Khabarovsk | go do nothing.
1983-07-31 14:10 (Sunday) | Place: City16 | go do nothing.
1984-06-29 19:55 (Friday) | Place: Makhachkala | go do nothing.
1984-07-16 13:03 (Monday) | Place: Ulyanovsk | go do nothing.
1986-05-30 10:20 (Friday) | Place: City12 | go do nothing.
1986-12-06 09:09 (Saturday) | Place: City24 | go do nothing.
1987-06-10 12:17 (Wednesday) | Place: Kemerovo | go do nothing.
1988-03-15 16:21 (Tuesday) | Place: City8 | go do nothing.
1988-11-07 13:42 (Monday) | Place: Penza | go do nothing.
1988-11-18 12:18 (Friday) | Place: Yekaterinburg | go do nothing.
1989-07-03 19:45 (Monday) | Place: Orenburg | go do nothing.
1989-12-18 15:18 (Monday) | Place: City6 | go do nothing.
1991-03-23 13:15 (Saturday) | Place: Samara | go do nothing.
1995-04-16 13:15 (Sunday) | Place: City8 | go do nothing.
1995-07-09 19:26 (Sunday) | Place: City29 | go do nothing.
1995-12-05 15:19 (Tuesday) | Place: City32 | go do nothing.
1996-01-21 14:09 (Sunday) | Place: Yekaterinburg | go do nothing.
1996-02-13 10:28 (Tuesday) | Place: Tula | go do nothing.
1996-10-02 11:32 (Wednesday) | Place: Tula | go do nothing.
1996-10-22 09:09 (Tuesday) | Place: Voronezh | go do nothing.
1997-01-30 18:40 (Thursday) | Place: City19 | go do nothing.
1997-11-15 14:23 (Saturday) | Place: City4 | go do nothing.
1999-09-12 15:56 (Sunday) | Place: City29 | go do nothing.
2000-09-19 10:28 (Tuesday) | Place: City13 | go do nothing.
2000-10-02 18:20 (Monday) | Place: Orenburg | go do nothing.
2000-10-31 12:50 (Tuesday) | Place: Nizhny Novgorod | go do nothing.
2000-12-07 15:56 (Thursday) | Place: Moscow | go do nothing.
2004-11-06 17:22 (Saturday) | Place: City32 | go do nothing.
2006-03-18 11:51 (Saturday) | Place: City10 | go do nothing.
2006-04-29 15:51 (Saturday) | Place: Samara | go do nothing.
2008-02-06 19:50 (Wednesday) | Place: City6 | go do nothing.
2011-05-10 19:08 (Tuesday) | Place: City4 | go do nothing.
2012-11-11 19:49 (Sunday) | Place: Krasnodar | go do nothing.
2013-12-04 13:37 (Wednesday) | Place: City28 | go do nothing.
2014-03-16 13:46 (Sunday) | Place: City16 | go do nothing.
2017-04-29 14:04 (Saturday) | Place: City15 | go do nothing.
2017-05-16 13:32 (Tuesday) | Place: City34 | go do nothing.
2019-07-30 10:40 (Tuesday) | Place: Orenburg | go do nothing.
2021-10-16 15:40 (Saturday) | Place: City12 | go do nothing.
2022-04-29 11:28 (Friday) | Place: City2 | go do nothing.
2023-01-28 15:25 (Saturday) | Place: City34 | go do nothing.
2023-02-07 08:30 (Tuesday) | Place: City2 | go do nothing.
2024-06-06 13:23 (Thursday) | Place: Ryazan | go do nothing.
2028-06-29 15:50 (Thursday) | Place: City5 | go do nothing.
2029-10-28 16:26 (Sunday) | Place: City20 | go do nothing.
2030-10-11 16:02 (Friday) | Place: Tomsk | go do nothing.
2030-11-27 17:13 (Wednesday) | Place: City24 | go do nothing.
2031-04-05 11:23 (Saturday) | Place: Ufa | go do nothing.
2031-12-04 13:20 (Thursday) | Place: City29 | go do nothing.
2033-11-04 19:49 (Friday) | Place: City6 | go do nothing.
2035-01-02 10:05 (Tuesday) | Place: Naberezhnye Chelny | go do nothing.
2035-03-08 13:47 (Thursday) | Place: Astrakhan | go do nothing.
2036-11-03 11:53 (Monday) | Place: Izhevsk | go do nothing.
2037-03-03 08:55 (Tuesday) | Place: Nizhny Novgorod | go do nothing.
2037-05-04 12:40 (Monday) | Place: City24 | go do nothing.
2037-05-30 18:55 (Saturday) | Place: Rostov-on-Don | go do nothing.
2037-12-12 16:16 (Saturday) | Place: City17 | go do nothing.
2039-01-29 19:14 (Saturday) | Place: Orenburg | go do nothing.
2042-12-23 15:03 (Tuesday) | Place: City27 | go do nothing.
2044-03-07 15:19 (Monday) | Place: Makhachkala | go do nothing.
2044-04-30 11:01 (Saturday) | Place: Moscow | go do nothing.
2044-12-17 10:19 (Saturday) | Place: City18 | go do nothing.
2047-01-29 12:14 (Tuesday) | Place: Khabarovsk | go do nothing.
2051-07-20 17:20 (Thursday) | Place: City23 | go do nothing.
2052-05-30 09:21 (Thursday) | Place: Makhachkala | go do nothing.
2052-06-30 10:34 (Sunday) | Place: City22 | go do nothing.
2052-08-28 10:46 (Wednesday) | Place: City23 | go do nothing.
2052-11-05 19:53 (Tuesday) | Place: City31 | go do nothing.
2054-09-30 18:02 (Wednesday) | Place: City4 | go do nothing.
2057-01-07 16:03 (Sunday) | Place: City28 | go do nothing.
2058-03-20 15:46 (Wednesday) | Place: City34 | go do nothing.
2062-03-15 16:06 (Wednesday) | Place: Ulyanovsk | go do nothing.
2063-01-08 16:36 (Monday) | Place: City21 | go do nothing.
2063-09-17 12:55 (Monday) | Place: Makhachkala | go do nothing.
2063-10-28 19:22 (Sunday) | Place: Cheboksary | go do nothing.
2065-08-30 17:23 (Sunday) | Place: City26 | go do nothing.
2065-11-13 19:11 (Friday) | Place: Naberezhnye Chelny | go do nothing.
2066-11-20 13:11 (Saturday) | Place: City20 | go do nothing.
2068-12-18 09:49 (Tuesday) | Place: Kaliningrad | go do nothing.
2070-08-15 12:30 (Friday) | Place: Kirov | go do nothing.
2070-09-24 14:13 (Wednesday) | Place: City4 | go do nothing.
2071-07-24 17:43 (Friday) | Place: Ufa | go do nothing.
2075-03-13 10:51 (Wednesday) | Place: Barnaul | go do nothing.
2075-05-27 12:26 (Monday) | Place: City13 | go do nothing.
2076-05-04 11:06 (Monday) | Place: Tomsk | go do nothing.
2078-02-07 09:35 (Monday) | Place: City17 | go do nothing.
2080-02-26 15:27 (Monday) | Place: City6 | go do nothing.
2080-08-21 17:45 (Wednesday) | Place: City23 | go do nothing.
2082-05-08 15:35 (Friday) | Place: Omsk | go do nothing.
2083-03-07 12:01 (Sunday) | Place: City17 | go do nothing.
2083-03-09 15:08 (Tuesday) | Place: Novosibirsk | go do nothing.
2083-11-06 18:19 (Saturday) | Place: City12 | go do nothing.
2085-07-05 16:38 (Thursday) | Place: Moscow | go do nothing.
2086-09-26 14:30 (Thursday) | Place: City2 | go do nothing.
2090-05-12 15:09 (Friday) | Place: City17 | go do nothing.
2090-11-17 17:41 (Friday) | Place: City33 | go do nothing.
2091-04-28 18:47 (Saturday) | Place: Astrakhan | go do nothing.
2092-03-01 16:49 (Saturday) | Place: Astrakhan | go do nothing.
2092-09-05 13:09 (Friday) | Place: City19 | go do nothing.
2093-06-06 16:47 (Saturday) | Place: Yekaterinburg | go do nothing.
2093-09-11 15:08 (Friday) | Place: City7 | go do nothing.
2094-06-01 19:54 (Tuesday) | Place: City15 | go do nothing.
2094-07-05 11:19 (Monday) | Place: City23 | go do nothing.
2094-07-13 10:40 (Tuesday) | Place: City32 | go do nothing.
2094-07-24 08:57 (Saturday) | Place: City14 | go do nothing.
2096-07-22 18:36 (Sunday) | Place: Yekaterinburg | go do nothing.
2096-09-16 09:55 (Sunday) | Place: City18 | go do nothing.
2098-04-20 10:48 (Sunday) | Place: City23 | go do nothing.
2099-02-08 11:36 (Sunday) | Place: Chelyabinsk | go do nothing.
2099-07-13 12:56 (Monday) | Place: City12 | go do nothing.
2099-10-12 14:05 (Monday) | Place: Tomsk | go do nothing.
