1980-12-31 18:14 (Wednesday) | Place: City30 | go do nothing.
1935-02-15 15:15 (Friday) | Place: Yekaterinburg | go do nothing.
2024-01-18 12:56 (Thursday) | Place: City33 | go do nothing.
2010-01-13 18:05 (Wednesday) | Place: City25 | go do nothing.
2044-03-07 15:17 (Monday) | Place: Astrakhan | go do nothing.
2083-05-22 17:18 (Saturday) | Place: Chelyabinsk | go do nothing.
2098-04-27 08:34 (Sunday) | Place: City3 | go do nothing.
2065-12-02 14:30 (Wednesday) | Place: City4 | go do nothing.
1967-02-28 17:32 (Tuesday) | Place: City9 | go do nothing.
2088-08-04 12:33 (Wednesday) | Place: Tomsk | go do nothing.
2005-09-26 18:03 (Monday) | Place: City24 | go do nothing.
2029-10-25 18:17 (Thursday) | Place: Ulyanovsk | go do nothing.
1952-07-22 10:32 (Tuesday) | Place: Saint Pyotrsburg | go do nothing.
1970-08-17 14:00 (Monday) | Place: Tyumen | go do nothing.
2072-10-16 09:57 (Sunday) | Place: Volgograd | go do nothing.
1955-11-07 12:18 (Monday) | Place: City30 | go do nothing.
1995-11-28 08:34 (Tuesday) | Place: Makhachkala | go do nothing.
2046-10-31 12:31 (Wednesday) | Place: City19 | go do nothing.
2070-06-17 10:45 (Tuesday) | Place: City7 | go do nothing.
1924-06-13 18:07 (Friday) | Place: Naberezhnye Chelny | go do nothing.
1962-09-05 14:51 (Wednesday) | Place: Ufa | go do nothing.
2013-07-26 16:52 (Friday) | Place: City34 | go do nothing.
2082-07-17 15:59 (Friday) | Place: City26 | go do nothing.
2016-06-22 11:21 (Wednesday) | Place: City32 | go do nothing.
1998-12-12 13:19 (Saturday) | Place: Volgograd | go do nothing.
1942-03-10 09:30 (Tuesday) | Place: Cheboksary | go do nothing.
1963-06-15 14:09 (Saturday) | Place: Krasnodar | go do nothing.
2062-08-12 17:54 (Saturday) | Place: Barnaul | go do nothing.
1904-06-21 16:26 (Tuesday) | Place: City3 | go do nothing.
1966-02-17 13:59 (Thursday) | Place: City13 | go do nothing.
2007-04-24 15:34 (Tuesday) | Place: Nizhny Novgorod | go do nothing.
1981-12-18 09:59 (Friday) | Place: City13 | go do nothing.
2083-03-09 09:13 (Tuesday) | Place: Makhachkala | go do nothing.
1924-07-28 18:10 (Monday) | Place: City13 | go do nothing.
1939-10-17 12:20 (Tuesday) | Place: City32 | go do nothing.
2015-04-23 15:00 (Thursday) | Place: Volgograd | go do nothing.
2086-09-26 14:59 (Thursday) | Place: Nizhny Novgorod | go do nothing.
2021-10-16 19:04 (Saturday) | Place: Samara | go do nothing.
